Record ID,ATD Device ID,Read Date,Intersection Name,Direction,Movement,Heavy Vehicle,Volume,Speed Average (Miles Per Hour),Speed StdDev,Seconds in Zone Average,Seconds in Zone StdDev,Month,Day,Year,Hour,Minute,Day of Week,Bin Duration (Seconds)
06c901a02a871b4bdcf21e7aa23cb79b,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,3,25.333,9.866,1.833,1.069,10,5,"2,022",10,15,3,900
b993384fa3b715ce91ff17a5cd8afb2a,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,23,8.348,3.984,38.63,46.38,10,5,"2,022",10,15,3,900
0aed1a19f7fb437f8693d7b5c864e607,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,True,1,9.0,0.0,52.5,0.0,10,5,"2,022",10,15,3,900
82a29b3c80a7f0436405353d46061814,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,14,7.5,3.459,12.1,13.427,10,5,"2,022",10,15,3,900
fb87796cf97bef0604d4531234b0381c,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,THRU,False,1,11.0,0.0,17.2,0.0,10,5,"2,022",10,15,3,900
c7110bc7e6ff98da32e9d9cd8f7f070d,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,0.0,0.0,108.9,0.0,10,5,"2,022",10,15,3,900
ebaf66f4451fda75256f839da3899045,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,18,13.278,9.492,8.506,17.333,10,5,"2,022",10,15,3,900
0126d2a1d80efc68b9177693693519bb,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,1,11.0,0.0,2.6,0.0,10,5,"2,022",10,15,3,900
cbb39d19285ea9825a37a2aef9dd7481,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,299,34.241,9.15,1.103,3.172,10,5,"2,022",10,15,3,900
816718146645b30a62d7955f33d96650,"6,957",2022 Oct 05 10:15:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,1,42.0,0.0,0.4,0.0,10,5,"2,022",10,15,3,900
4227d40d08cf05af3090666b7177ef75,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,1,7.0,0.0,2.3,0.0,10,5,"2,022",10,30,3,900
390860e2294eca86d8d9d51016e1f9ce,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,250,25.388,7.58,3.815,6.625,10,5,"2,022",10,30,3,900
33e750be4efef79a55cb3a020d94429c,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,4,20.5,12.767,6.125,8.635,10,5,"2,022",10,30,3,900
e8c626f006b8c9041ef7ab88ec504be0,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,6,7.167,4.215,60.183,51.635,10,5,"2,022",10,30,3,900
6b53a38af07f1a0f6dad3bcfa926824a,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,11,7.273,2.867,22.9,25.655,10,5,"2,022",10,30,3,900
9d2e6b888e2d7b5c2f4731f2ba128777,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,0.0,0.0,84.0,0.0,10,5,"2,022",10,30,3,900
242c6a574159573224ac99dfb7a591f8,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,1,5.0,0.0,10.4,0.0,10,5,"2,022",10,30,3,900
4604d8d4371417a396a7c090d1c7913b,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,1,11.0,0.0,23.9,0.0,10,5,"2,022",10,30,3,900
d3746d974fb2d57ac5a4c1ec802e9618,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,23,16.565,12.131,1.783,4.269,10,5,"2,022",10,30,3,900
03b07175110f28074c4baed9b0dde224,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,325,33.951,7.412,0.984,3.194,10,5,"2,022",10,30,3,900
87b71d046af362028b5af76bb09c56e8,"6,957",2022 Oct 05 10:30:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,4,36.5,3.697,0.9,0.258,10,5,"2,022",10,30,3,900
a3d0a6d8c4f4bcdd09e2ea36ce34cca5,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,2,10.0,1.414,4.25,0.212,10,5,"2,022",10,45,3,900
a6734971539dfdd18bc9ef450891ece6,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,4,8.75,0.957,0.525,0.85,10,5,"2,022",10,45,3,900
6dac567430b8c757c121c0c4ecacdafb,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,237,21.519,7.286,4.323,6.966,10,5,"2,022",10,45,3,900
54e076b174b1e04b18cdc595ba5cf769,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,3,23.667,11.846,10.2,14.123,10,5,"2,022",10,45,3,900
174a3f1af9865821a2c20926c2bf7647,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,8,8.875,4.324,45.613,54.134,10,5,"2,022",10,45,3,900
0be5911e392b76bae60879e910a62170,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,15,8.8,2.731,18.98,31.246,10,5,"2,022",10,45,3,900
ced8333d2609b05cf0dd4e11c7314ae5,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,7.0,0.0,0.0,0.0,10,5,"2,022",10,45,3,900
f0ff7c00731e12634b21f96ed8dbb945,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,1,5.0,0.0,0.0,0.0,10,5,"2,022",10,45,3,900
e1cb2eb0e7928d39b5488022e6e0a45b,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,2,0.0,0.0,64.05,88.459,10,5,"2,022",10,45,3,900
facf7f35a7b8bdbe226c1b17737f3f2d,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,10,12.9,5.486,1.88,1.241,10,5,"2,022",10,45,3,900
6ba9a55f38f20778c2e8016375beb51c,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,2,9.0,1.414,2.6,1.131,10,5,"2,022",10,45,3,900
2f9705a05affbf70231c2651e29c3326,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,287,32.875,8.785,0.929,1.877,10,5,"2,022",10,45,3,900
43633a354d689ff60e47ac9e2e66c420,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,6,30.5,5.683,9.833,22.718,10,5,"2,022",10,45,3,900
0aa2efd1cbc262839e118b60f26c6bdb,"6,957",2022 Oct 05 10:45:00 AM,SLAUGHTER LN / ,WESTBOUND,U-TURN,False,1,13.0,0.0,1.7,0.0,10,5,"2,022",10,45,3,900
c2e61b8aacdd730b2dbf93339b3dd89c,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,5,6.2,1.643,13.58,9.003,10,5,"2,022",11,0,3,900
1aef0f9c6582f0e1e9b1ade4231e1cb2,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,252,27.198,5.802,2.844,4.102,10,5,"2,022",11,0,3,900
5c34f0b176c56f33b187237bf5998f32,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,2,12.0,4.243,14.9,19.233,10,5,"2,022",11,0,3,900
70286d8cbe9a0b448206674cf14bb0bf,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,8,6.25,2.252,57.888,45.366,10,5,"2,022",11,0,3,900
eb018b880c032bdde7aceeeb0c872d4f,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,3,9.667,1.528,16.333,13.041,10,5,"2,022",11,0,3,900
2752a8b874c81eb28271957ce05bdaea,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,NORTHBOUND,THRU,False,1,6.0,0.0,0.9,0.0,10,5,"2,022",11,0,3,900
9168b9cc562303986a1b7025da3729b9,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,NORTHBOUND,U-TURN,False,1,14.0,0.0,2.2,0.0,10,5,"2,022",11,0,3,900
179864ac5b96dcbbe3a132c78b128057,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,3,5.333,2.309,2.733,4.475,10,5,"2,022",11,0,3,900
05bbfdfbb1c28f382f8c0d7e0ea42efa,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,2,5.0,0.0,4.9,0.283,10,5,"2,022",11,0,3,900
933d60bd1300ebe6eb5f6ca188398221,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,5,22.6,11.803,0.78,1.057,10,5,"2,022",11,0,3,900
5d7196ab12577a2c644adb7458ed7be0,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,3,21.0,14.731,1.4,0.755,10,5,"2,022",11,0,3,900
780d5931cf043aefbb0c31fc68d8e136,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,276,33.913,7.89,0.907,1.816,10,5,"2,022",11,0,3,900
eca08f26485148c9dc9785bf36e22ae7,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,6,32.833,4.167,0.783,0.64,10,5,"2,022",11,0,3,900
6c0f03c21eb821483b2415ce7c5b85db,"6,957",2022 Oct 05 11:00:00 AM,SLAUGHTER LN / ,WESTBOUND,U-TURN,False,1,10.0,0.0,0.1,0.0,10,5,"2,022",11,0,3,900
501cd495eb6cb8fa58d3f4576d5b48fd,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,3,10.333,4.619,5.6,4.004,10,5,"2,022",11,15,3,900
f0d58915432c9f1f88aab8a75da47084,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,240,24.058,8.295,3.701,5.923,10,5,"2,022",11,15,3,900
86cb0df7bbeea29ca7527dc403c96a2b,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,6,18.333,7.033,2.55,2.263,10,5,"2,022",11,15,3,900
a6279b1266551e113ab80f9d41cad32c,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,9,6.667,2.646,49.322,40.719,10,5,"2,022",11,15,3,900
6b7152baf90433846fb18b27ae68bc81,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,3,8.0,0.0,11.6,9.704,10,5,"2,022",11,15,3,900
f7f215f6f31577e309a9f46c43f13dd9,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,10.0,0.0,2.7,0.0,10,5,"2,022",11,15,3,900
7b2fb33b40ddf08de52067929cc4e9de,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,2,5.5,7.778,8.25,3.465,10,5,"2,022",11,15,3,900
6eb0f359df95ede2cf633114173a4e2e,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,1,7.0,0.0,22.1,0.0,10,5,"2,022",11,15,3,900
aae6a0e868e60ecd7743583dc8f6376e,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,10,21.0,12.499,3.19,4.403,10,5,"2,022",11,15,3,900
6c7f633e646bf08da8ab496c9501a0a1,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,1,31.0,0.0,0.3,0.0,10,5,"2,022",11,15,3,900
808d66284bc513986b4b35f6d2bb9c81,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,True,1,10.0,0.0,2.4,0.0,10,5,"2,022",11,15,3,900
b9c0a4e7b5b3df2942698f088c012584,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,340,33.491,8.733,0.966,2.076,10,5,"2,022",11,15,3,900
733c203e274019a795de71da74421e3c,"6,957",2022 Oct 05 11:15:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,3,23.333,11.719,0.667,0.611,10,5,"2,022",11,15,3,900
205e01eb68396da586a463983253ea16,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,3,7.667,5.508,27.367,33.245,10,5,"2,022",11,30,3,900
21453d19342aac5c54fc5750a0edd379,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,1,2.0,0.0,0.2,0.0,10,5,"2,022",11,30,3,900
a7715db7b655ab87cfef842d5d36b1c3,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,261,22.709,7.278,4.002,7.042,10,5,"2,022",11,30,3,900
432dbd279bb1994954e3e62f47ad4aca,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,2,20.0,2.828,2.75,1.061,10,5,"2,022",11,30,3,900
5bc6bfb6b88e0cb1b3428757349b6d5a,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,8,7.0,3.381,58.287,46.818,10,5,"2,022",11,30,3,900
3b48b087765c4d8693e6505d0379e8a5,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,3,8.0,3.0,7.833,6.035,10,5,"2,022",11,30,3,900
6621eed0d1a328a3596fac0711e00191,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,True,1,9.0,0.0,1.0,0.0,10,5,"2,022",11,30,3,900
a28fbf57e21ef6d53498317abf4249b3,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,NORTHBOUND,THRU,False,2,6.5,2.121,14.1,0.566,10,5,"2,022",11,30,3,900
37d02774001ed0d21dd864988e255c02,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,3,3.0,3.606,63.7,58.8,10,5,"2,022",11,30,3,900
533347f3221bcb32ba1385d47ec44060,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,2,6.5,3.536,0.05,0.071,10,5,"2,022",11,30,3,900
85bb96099922f782ac6e3746f603213a,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,15,10.2,8.604,10.64,11.811,10,5,"2,022",11,30,3,900
ec5abc4446767a0f27e5ad33ee720903,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,315,33.197,9.934,1.317,3.917,10,5,"2,022",11,30,3,900
482d7ca82f24b57eb3ecf33845a4a2c5,"6,957",2022 Oct 05 11:30:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,5,35.4,5.899,0.72,0.192,10,5,"2,022",11,30,3,900
cda43b4f17966648362b25c7626c1ebc,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,2,17.5,19.092,10.8,14.991,10,5,"2,022",11,45,3,900
5f2564702efd2aba087a64d53ec9e30c,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,1,0.0,0.0,0.3,0.0,10,5,"2,022",11,45,3,900
697853abaf49f987f19e622dbcb27848,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,False,244,23.824,7.7,4.262,10.008,10,5,"2,022",11,45,3,900
045e5b6fc2d14530788c3cbd093085c6,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,EASTBOUND,THRU,True,3,18.0,5.292,26.633,39.982,10,5,"2,022",11,45,3,900
7368e4c6b2930717417a6ac6096c5d3c,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,34,11.647,4.059,28.532,49.092,10,5,"2,022",11,45,3,900
e579fd5f7e0e4c5002447e944a6e745c,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,39,10.051,4.0,10.736,16.302,10,5,"2,022",11,45,3,900
debf0ad2c529f18df0a5a02d33b3123f,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,True,3,8.667,4.041,25.667,34.631,10,5,"2,022",11,45,3,900
bbc688ae97f96ceb9f6010cc3d9e0688,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,NORTHBOUND,THRU,False,6,9.333,4.082,27.867,41.044,10,5,"2,022",11,45,3,900
87bbfa372b4e3bf5d618f32e0aa677f6,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,3,1.333,2.309,16.767,19.711,10,5,"2,022",11,45,3,900
70bf4b5b2446c8b7acf6609621621794,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,2,12.0,5.657,23.9,24.607,10,5,"2,022",11,45,3,900
fd7eea7ed23f8cbca0ee8f38ba831889,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,1,0.0,0.0,122.3,0.0,10,5,"2,022",11,45,3,900
c93a4e0530ab5c80a8199980a1f86a78,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,8,15.125,9.538,4.425,8.989,10,5,"2,022",11,45,3,900
2db4ee0521043dd303a312accc9798f9,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,True,1,5.0,0.0,5.1,0.0,10,5,"2,022",11,45,3,900
bee942330c631362e564edb93af3e040,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,1,11.0,0.0,0.1,0.0,10,5,"2,022",11,45,3,900
a662f14743df86926d82cefa9ef79f4b,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,True,1,12.0,0.0,0.8,0.0,10,5,"2,022",11,45,3,900
e5c4cb420d1c02f934eab1b6cd4a9a8d,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,False,298,32.597,9.162,1.268,4.399,10,5,"2,022",11,45,3,900
0e41b021005744f4573b8a1ef93b9ae7,"6,957",2022 Oct 05 11:45:00 AM,SLAUGHTER LN / ,WESTBOUND,THRU,True,2,32.5,0.707,0.35,0.495,10,5,"2,022",11,45,3,900
293d42af4eb39ba597dce465eabe8c09,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,1,10.0,0.0,4.0,0.0,10,5,"2,022",12,0,3,900
8cacfdd9fe886ad46350dc4e61f1bcad,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,True,1,11.0,0.0,3.6,0.0,10,5,"2,022",12,0,3,900
f36890f62237cddffa15f42fc3de5224,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,1,7.0,0.0,0.1,0.0,10,5,"2,022",12,0,3,900
4b062b59bde727b72d846a8fbf444357,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,EASTBOUND,THRU,False,231,20.775,7.055,3.835,6.892,10,5,"2,022",12,0,3,900
9af23ee973ab7a537790643a5a2bf45d,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,EASTBOUND,THRU,True,5,14.6,3.647,4.02,2.555,10,5,"2,022",12,0,3,900
0a9c34c5b6529c9affb78038d10584f2,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,8,5.25,2.493,74.562,29.569,10,5,"2,022",12,0,3,900
f9c0e7c01906404fb7487023e7389fbf,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,5,8.6,1.342,10.44,4.972,10,5,"2,022",12,0,3,900
e8d47f4a95df2407006eea7a28756081,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,True,1,11.0,0.0,8.4,0.0,10,5,"2,022",12,0,3,900
61f4de1d134d971b903352338718b0c0,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,7.0,0.0,16.8,0.0,10,5,"2,022",12,0,3,900
128a48cc1c6daab46d65c13862ec47a9,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,19,12.158,9.311,10.111,14.814,10,5,"2,022",12,0,3,900
b8c4a5040a31e921f6688127149395e2,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,True,1,8.0,0.0,10.9,0.0,10,5,"2,022",12,0,3,900
9f97a2cea1ea527712c33a64ad8f5ee3,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,2,20.5,10.607,1.05,0.354,10,5,"2,022",12,0,3,900
1e8d6747ef554f62864708f53955791c,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,WESTBOUND,THRU,False,312,33.904,6.398,0.858,1.891,10,5,"2,022",12,0,3,900
1bf32ccea4bc2674b9e26499a8a552c7,"6,957",2022 Oct 05 12:00:00 PM,SLAUGHTER LN / ,WESTBOUND,THRU,True,4,26.75,13.2,13.0,25.535,10,5,"2,022",12,0,3,900
2c725e80d2e36361fbb2745553391eeb,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,EASTBOUND,RIGHT TURN,False,1,6.0,0.0,1.4,0.0,10,5,"2,022",12,15,3,900
e9bee25b366d7fc81ceceb344fc81fc4,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,EASTBOUND,THRU,False,239,24.1,7.724,3.767,7.886,10,5,"2,022",12,15,3,900
f0cdc0dee1bd1a5f7e031cf4cfbb9b09,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,11,7.636,3.931,28.582,40.779,10,5,"2,022",12,15,3,900
5323cdd55eae23b3eaa2bb8aba16d0ad,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,4,7.0,1.414,6.525,7.824,10,5,"2,022",12,15,3,900
c495dabb51525872046b48700adb0074,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,1.0,0.0,14.4,0.0,10,5,"2,022",12,15,3,900
ce2f70c4d89993ed48c951034dd5a8c9,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,3,1.333,0.577,4.567,6.966,10,5,"2,022",12,15,3,900
2811c7492c66d414c0d42a5381379c3e,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,SOUTHBOUND,THRU,False,1,5.0,0.0,57.9,0.0,10,5,"2,022",12,15,3,900
e91e5fd4690f8d2c3c939fa8c1685a94,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,WESTBOUND,LEFT TURN,False,29,11.379,5.368,7.324,9.578,10,5,"2,022",12,15,3,900
6331369b4da0ef017969fc8dffa976bc,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,WESTBOUND,RIGHT TURN,False,1,12.0,0.0,2.1,0.0,10,5,"2,022",12,15,3,900
3d792ce8630836e4f11f6a753f1e5684,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,WESTBOUND,THRU,False,315,31.981,10.222,1.185,4.273,10,5,"2,022",12,15,3,900
1e0d5219280f9d06a9f85721254ea964,"6,957",2022 Oct 05 12:15:00 PM,SLAUGHTER LN / ,WESTBOUND,THRU,True,6,35.667,11.112,0.6,0.297,10,5,"2,022",12,15,3,900
432c85f949ccf79c33ab7c69e51c0aeb,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,EASTBOUND,LEFT TURN,False,5,7.2,3.194,23.56,18.501,10,5,"2,022",12,30,3,900
87e36b394fb595ae5d517bb6d3359a10,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,EASTBOUND,THRU,False,258,21.341,7.753,4.701,8.558,10,5,"2,022",12,30,3,900
414623c367b67bedd5e20938c1171876,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,NORTHBOUND,LEFT TURN,False,10,8.0,3.432,29.7,45.965,10,5,"2,022",12,30,3,900
5581f6b5c3fb79e26b76008eba88869c,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,False,1,2.0,0.0,5.9,0.0,10,5,"2,022",12,30,3,900
bb37c889a0850979df4851e2c34d3fbc,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,NORTHBOUND,RIGHT TURN,True,3,10.0,2.0,13.967,20.121,10,5,"2,022",12,30,3,900
3afb8173066ffd97c1e87557cdd808dd,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,NORTHBOUND,U-TURN,False,2,9.0,4.243,10.05,2.475,10,5,"2,022",12,30,3,900
95f20c07cc975d2d789ae4321bc74bd5,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,SOUTHBOUND,LEFT TURN,False,1,0.0,0.0,37.8,0.0,10,5,"2,022",12,30,3,900
79523f5a43a439f951010dd47d024f7f,"6,957",2022 Oct 05 12:30:00 PM,SLAUGHTER LN / ,SOUTHBOUND,RIGHT TURN,False,3,9.0,1.732,3.567,3.134,10,5,"2,022",12,30,3,900
